,file_name,iteration,actual_theta(degrees),calculated_theta(degrees),average_distance,original_num_features,rotated_num_features,num_good_matches,detector_type,elapsed_time(s),successful_merge,distance_from_feature_after_merge
75,2RobotsFull_R1_res0.05.pgm,0,150,150.00800988212976,19.967637540453076,501,500,309,orb,1.5069706439971924,True,0.8308423757553101
76,2RobotsFull_R1_res0.05.pgm,0,180,179.99779378266172,0.0,501,501,501,orb,1.5000340938568115,False,1.045832633972168
77,2RobotsFull_R2_res0.05.pgm,0,0,-0.0,0.0,500,500,500,orb,1.498643159866333,True,0.0
78,2RobotsFull_R2_res0.05.pgm,0,30,30.004666603425115,19.17105263157895,500,500,304,orb,1.5428473949432373,True,0.5301640033721924
79,2RobotsFull_R2_res0.05.pgm,0,60,60.000779136211065,18.509677419354837,500,500,310,orb,1.5169048309326172,True,0.4541853666305542
80,2RobotsFull_R2_res0.05.pgm,0,90,90.00343690914637,0.0,500,500,500,orb,1.584491491317749,True,0.7090377807617188
81,2RobotsFull_R2_res0.05.pgm,0,120,119.9869266983676,19.19344262295082,500,500,305,orb,1.6566195487976074,False,1.1083016395568848
82,2RobotsFull_R2_res0.05.pgm,0,150,149.99910037033015,18.3474025974026,500,500,308,orb,1.4756100177764893,False,1.053511381149292
83,2RobotsFull_R2_res0.05.pgm,0,180,179.99587909424568,0.0,500,500,500,orb,1.644566297531128,True,0.9122810363769531
84,MiniOverlap_R1_res0.05.pgm,0,0,-0.0,0.0,500,500,500,orb,0.7868928909301758,True,0.0
85,MiniOverlap_R1_res0.05.pgm,0,30,30.031821653049064,22.62162162162162,500,500,296,orb,0.8128247261047363,True,0.0
86,MiniOverlap_R1_res0.05.pgm,0,60,59.97987510881425,23.50836120401338,500,500,299,orb,0.7290496826171875,True,0.6090428233146667
87,MiniOverlap_R1_res0.05.pgm,0,90,89.99490281405153,0.0,500,500,500,orb,0.7300794124603271,True,0.586054265499115
88,MiniOverlap_R1_res0.05.pgm,0,120,120.00510115931363,22.62162162162162,500,500,296,orb,0.7290351390838623,True,0.48989489674568176
89,MiniOverlap_R1_res0.05.pgm,0,150,149.97072846531768,23.51170568561873,500,500,299,orb,0.7390031814575195,False,1.035499930381775
90,MiniOverlap_R1_res0.05.pgm,0,180,179.99522811539148,0.0,500,500,500,orb,0.7141323089599609,True,0.9887838959693909
91,MiniOverlap_R2_res0.05.pgm,0,0,-0.0,0.0,500,500,500,orb,0.7150843143463135,True,0.0
92,MiniOverlap_R2_res0.05.pgm,0,30,29.99363407126744,21.190625,500,500,320,orb,0.7530391216278076,True,0.3916427791118622
93,MiniOverlap_R2_res0.05.pgm,0,60,59.99533770907387,22.94904458598726,500,500,314,orb,0.720036506652832,True,0.6144075393676758
94,MiniOverlap_R2_res0.05.pgm,0,90,89.99414182755962,0.0,500,500,500,orb,0.7181274890899658,True,0.7449808120727539
95,MiniOverlap_R2_res0.05.pgm,0,120,120.00882474682213,21.190625,500,500,320,orb,0.7339866161346436,False,1.1499146223068237
96,MiniOverlap_R2_res0.05.pgm,0,150,150.00023583710603,22.94904458598726,500,500,314,orb,0.7310800552368164,False,1.3005043268203735
97,MiniOverlap_R2_res0.05.pgm,0,180,179.99068464824694,0.0,500,500,500,orb,0.7320046424865723,False,1.0828359127044678
98,FuulPath_res0.05.pgm,0,0,-0.0,0.0,500,500,500,orb,0.6991269588470459,True,0.0
99,FuulPath_res0.05.pgm,0,30,29.99462804414923,24.539285714285715,500,500,280,orb,0.7141435146331787,True,0.37075504660606384
100,FuulPath_res0.05.pgm,0,60,59.99406999801698,24.6872852233677,500,500,291,orb,0.7409629821777344,True,0.5679551362991333
101,FuulPath_res0.05.pgm,0,90,89.99777731892247,0.0,500,500,500,orb,0.7150890827178955,True,0.6760255098342896
102,FuulPath_res0.05.pgm,0,120,119.98919121777986,24.535714285714285,500,500,280,orb,0.7271032333374023,True,0.8806359767913818
103,FuulPath_res0.05.pgm,0,150,149.98452266563447,24.68384879725086,500,500,291,orb,0.7319903373718262,False,1.1781952381134033
104,FuulPath_res0.05.pgm,0,180,179.99476727683313,0.0,500,500,500,orb,0.71109938621521,True,0.9296318888664246
