,file_name,iteration,actual_theta(degrees),calculated_theta(degrees),average_distance,original_num_features,rotated_num_features,num_good_matches,detector_type,elapsed_time(s),successful_merge,distance_from_feature_after_merge,noise,scale,scale_recovered
99,FuulPath_res0.05.pgm,4,0,0.0030947576256154198,1447.7628635346757,530,13478,447,sift,7.69086217880249,False,374.4087219238281,0.04,1,1.0000572662493892
100,2RobotsFull_R1_res0.05.pgm,0,0,0.003968290112280557,0.7767804064532624,4291,45420,3119,surf,25.30498504638672,False,216.20611572265625,0.01,1,0.9999500627135505
101,2RobotsFull_R1_res0.05.pgm,1,0,-0.0036122541840732216,0.7776786951362898,4291,45045,3165,surf,26.357531309127808,False,203.0723876953125,0.01,1,1.0000585053510533
102,2RobotsFull_R1_res0.05.pgm,2,0,0.0009223461686426159,0.7900280702969908,4291,46067,3162,surf,28.91572856903076,False,230.39041137695312,0.01,1,0.9999965418655805
103,2RobotsFull_R1_res0.05.pgm,3,0,-0.002473665566551468,0.794944286954499,4291,45958,3100,surf,28.021729946136475,False,229.7239227294922,0.01,1,0.9999419983093271
104,2RobotsFull_R1_res0.05.pgm,4,0,-0.01717674929505101,0.7775886024628682,4291,45160,3187,surf,25.51070261001587,False,206.52920532226562,0.01,1,1.0000836601309055
105,2RobotsFull_R1_res0.05.pgm,0,0,0.006926286361211035,1.0060557307962434,4291,150046,2551,surf,48.06584668159485,False,324.0115051269531,0.02,1,1.0000077874087512
106,2RobotsFull_R1_res0.05.pgm,1,0,-0.008294528696372733,0.983367277898923,4291,150803,2622,surf,50.66250252723694,False,295.29986572265625,0.02,1,0.9999980008792058
107,2RobotsFull_R1_res0.05.pgm,2,0,-0.00840642295278156,0.9889553902507986,4291,150216,2575,surf,46.5154345035553,False,307.26129150390625,0.02,1,1.0001030706797638
108,2RobotsFull_R1_res0.05.pgm,3,0,0.018761951008306518,1.0047963326638059,4291,148740,2580,surf,43.44722652435303,False,286.5140075683594,0.02,1,1.000232901900343
109,2RobotsFull_R1_res0.05.pgm,4,0,-0.0052664999616514096,0.9898387146813254,4291,150205,2604,surf,45.38963747024536,False,303.4204406738281,0.02,1,0.9998741413979344
110,2RobotsFull_R1_res0.05.pgm,0,0,0.004178955826379235,1.1111337137291597,4291,221185,2150,surf,61.14735293388367,False,336.7872619628906,0.03,1,0.9997379865952429
111,2RobotsFull_R1_res0.05.pgm,1,0,-0.026150962072600332,1.1203507841737181,4291,221862,2106,surf,61.01988387107849,False,341.0498962402344,0.03,1,0.999937882375442
112,2RobotsFull_R1_res0.05.pgm,2,0,0.007285979140293406,1.1193029410158044,4291,221353,2146,surf,68.51416277885437,False,347.2465515136719,0.03,1,0.9998944542240745
113,2RobotsFull_R1_res0.05.pgm,3,0,-0.005065442581953862,1.1149062301993427,4291,221467,2121,surf,66.62917900085449,False,360.70703125,0.03,1,0.9997387951869816
114,2RobotsFull_R1_res0.05.pgm,4,0,-0.010069405400910019,1.1186677745486222,4291,221519,2133,surf,73.36959791183472,False,353.3363037109375,0.03,1,1.0001146265567957
115,2RobotsFull_R1_res0.05.pgm,0,0,-0.003905928613419907,1.1682750341335844,4291,255780,1804,surf,77.3323426246643,False,386.6402587890625,0.04,1,1.0000271592818486
116,2RobotsFull_R1_res0.05.pgm,1,0,0.030105420664543,1.1735812210689691,4291,256895,1838,surf,78.80167579650879,False,357.7781982421875,0.04,1,1.00019432985613
117,2RobotsFull_R1_res0.05.pgm,2,0,-0.007481230478411987,1.1729138327339061,4291,257452,1786,surf,78.82945513725281,False,353.6099548339844,0.04,1,0.9996942136370296
118,2RobotsFull_R1_res0.05.pgm,3,0,0.007904969379328816,1.1668029623971397,4291,257258,1819,surf,69.40231919288635,False,380.79998779296875,0.04,1,0.9998531670783992
119,2RobotsFull_R1_res0.05.pgm,4,0,-0.00289836722988781,1.1843514619635545,4291,257395,1782,surf,76.01756024360657,False,373.231201171875,0.04,1,1.0001429999687292
120,2RobotsFull_R2_res0.05.pgm,0,0,-0.0036310413977345083,0.7457788286932239,3786,43275,2467,surf,24.898162126541138,False,272.0734558105469,0.01,1,1.0000312098822015
121,2RobotsFull_R2_res0.05.pgm,1,0,0.0010024922827228339,0.7410727783760303,3786,43646,2472,surf,24.129714488983154,False,299.9146423339844,0.01,1,0.9999910662353905
122,2RobotsFull_R2_res0.05.pgm,2,0,0.0036226141787446715,0.7455138733519971,3786,42431,2407,surf,22.68614649772644,False,275.3109130859375,0.01,1,0.9999073456497686
123,2RobotsFull_R2_res0.05.pgm,3,0,0.0002775991512747641,0.744829021999555,3786,42994,2431,surf,23.992865562438965,False,294.5317687988281,0.01,1,0.9999772419162491
124,2RobotsFull_R2_res0.05.pgm,4,0,-0.0030375097642359994,0.7492963622480594,3786,43381,2447,surf,25.056983709335327,False,294.6264343261719,0.01,1,1.0000034339330686
125,2RobotsFull_R2_res0.05.pgm,0,0,-0.0022770485480007284,0.9669274516385279,3786,146942,2025,surf,46.92320942878723,False,374.13116455078125,0.02,1,0.9998191385537608
126,2RobotsFull_R2_res0.05.pgm,1,0,0.0002989569772227724,0.959768536455069,3786,146712,2044,surf,47.66844654083252,False,373.7859191894531,0.02,1,1.000031566122605
127,2RobotsFull_R2_res0.05.pgm,2,0,-0.0029327732209396403,0.9712401357873771,3786,147706,2012,surf,46.65695285797119,False,381.68731689453125,0.02,1,1.0000340729384238
128,2RobotsFull_R2_res0.05.pgm,3,0,-0.0042325879131822775,0.9806455247563349,3786,146798,2012,surf,45.035808801651,False,357.8219299316406,0.02,1,1.0001519951643203
129,2RobotsFull_R2_res0.05.pgm,4,0,0.006013943430831545,0.9778674207496667,3786,147673,1989,surf,49.210596799850464,False,368.26129150390625,0.02,1,1.0000415893368553
130,2RobotsFull_R2_res0.05.pgm,0,0,-0.006704181027105123,1.1071899955269697,3786,219735,1601,surf,63.36241149902344,False,410.20135498046875,0.03,1,0.9999313585177013
131,2RobotsFull_R2_res0.05.pgm,1,0,0.004883318813726238,1.1115844655307192,3786,219654,1632,surf,62.10942721366882,False,394.5793151855469,0.03,1,0.9998997149960186
