,file_name,iteration,actual_theta(degrees),calculated_theta(degrees),average_distance,original_num_features,rotated_num_features,num_good_matches,detector_type,elapsed_time(s),successful_merge,distance_from_feature_after_merge,scale,scale_recovered
116,2RobotsFull_R1_res0.05.pgm,1,0,0.015604455916916603,0.5341501163627224,4291,2457,1733,surf,4.814939022064209,True,0.22414182126522064,0.8,0.8000826090484119
117,2RobotsFull_R1_res0.05.pgm,2,0,0.015604455916916603,0.5341501163627224,4291,2457,1733,surf,4.514089822769165,True,0.22414182126522064,0.8,0.8000826090484119
118,2RobotsFull_R1_res0.05.pgm,3,0,0.015604455916916603,0.5341501163627224,4291,2457,1733,surf,4.831445217132568,True,0.22414182126522064,0.8,0.8000826090484119
119,2RobotsFull_R1_res0.05.pgm,4,0,0.015604455916916603,0.5341501163627224,4291,2457,1733,surf,4.564351797103882,True,0.22414182126522064,0.8,0.8000826090484119
120,2RobotsFull_R2_res0.05.pgm,0,0,-0.05730542880412863,0.7216575520458045,3786,256,135,surf,1.5317432880401611,False,1.8026649951934814,0.2,0.19960388686141295
121,2RobotsFull_R2_res0.05.pgm,1,0,-0.05730542880412863,0.7216575520458045,3786,256,135,surf,1.5517094135284424,False,1.8026649951934814,0.2,0.19960388686141295
122,2RobotsFull_R2_res0.05.pgm,2,0,-0.05730542880412863,0.7216575520458045,3786,256,135,surf,1.501802682876587,False,1.8026649951934814,0.2,0.19960388686141295
123,2RobotsFull_R2_res0.05.pgm,3,0,-0.05730542880412863,0.7216575520458045,3786,256,135,surf,1.4970307350158691,False,1.8026649951934814,0.2,0.19960388686141295
124,2RobotsFull_R2_res0.05.pgm,4,0,-0.05730542880412863,0.7216575520458045,3786,256,135,surf,1.5197665691375732,False,1.8026649951934814,0.2,0.19960388686141295
125,2RobotsFull_R2_res0.05.pgm,0,0,0.02175633323693489,0.6387580293251408,3786,720,450,surf,2.050736665725708,False,10.538493156433105,0.4,0.39958749844771824
126,2RobotsFull_R2_res0.05.pgm,1,0,0.02175633323693489,0.6387580293251408,3786,720,450,surf,2.065485715866089,False,10.538493156433105,0.4,0.39958749844771824
127,2RobotsFull_R2_res0.05.pgm,2,0,0.02175633323693489,0.6387580293251408,3786,720,450,surf,2.0715115070343018,False,10.538493156433105,0.4,0.39958749844771824
128,2RobotsFull_R2_res0.05.pgm,3,0,0.02175633323693489,0.6387580293251408,3786,720,450,surf,2.0493242740631104,False,10.538493156433105,0.4,0.39958749844771824
129,2RobotsFull_R2_res0.05.pgm,4,0,0.02175633323693489,0.6387580293251408,3786,720,450,surf,2.041822910308838,False,10.538493156433105,0.4,0.39958749844771824
130,2RobotsFull_R2_res0.05.pgm,0,0,-0.024803707416776167,0.5495122205108595,3786,1571,938,surf,2.9077470302581787,True,0.5700709819793701,0.6,0.5998087724810863
131,2RobotsFull_R2_res0.05.pgm,1,0,-0.024803707416776167,0.5495122205108595,3786,1571,938,surf,2.974320888519287,True,0.5700709819793701,0.6,0.5998087724810863
132,2RobotsFull_R2_res0.05.pgm,2,0,-0.024803707416776167,0.5495122205108595,3786,1571,938,surf,3.068713665008545,True,0.5700709819793701,0.6,0.5998087724810863
133,2RobotsFull_R2_res0.05.pgm,3,0,-0.024803707416776167,0.5495122205108595,3786,1571,938,surf,3.3804168701171875,True,0.5700709819793701,0.6,0.5998087724810863
134,2RobotsFull_R2_res0.05.pgm,4,0,-0.024803707416776167,0.5495122205108595,3786,1571,938,surf,2.9505228996276855,True,0.5700709819793701,0.6,0.5998087724810863
135,2RobotsFull_R2_res0.05.pgm,0,0,0.01121768928489125,0.47145017914748577,3786,2608,1601,surf,4.203099727630615,True,0.2692601680755615,0.8,0.8001570409627613
136,2RobotsFull_R2_res0.05.pgm,1,0,0.01121768928489125,0.47145017914748577,3786,2608,1601,surf,4.2378318309783936,True,0.2692601680755615,0.8,0.8001570409627613
137,2RobotsFull_R2_res0.05.pgm,2,0,0.01121768928489125,0.47145017914748577,3786,2608,1601,surf,4.278610706329346,True,0.2692601680755615,0.8,0.8001570409627613
138,2RobotsFull_R2_res0.05.pgm,3,0,0.01121768928489125,0.47145017914748577,3786,2608,1601,surf,4.327176809310913,True,0.2692601680755615,0.8,0.8001570409627613
139,2RobotsFull_R2_res0.05.pgm,4,0,0.01121768928489125,0.47145017914748577,3786,2608,1601,surf,4.369186162948608,True,0.2692601680755615,0.8,0.8001570409627613
140,MiniOverlap_R1_res0.05.pgm,0,0,-0.0347097404049796,0.7379982119064196,4224,264,211,surf,0.9021475315093994,False,6.904467582702637,0.2,0.19931753446042164
